Price,Manufacturor,CPU,Cores,RAM,SSDorHDD,StorageCapacity,VRAM,Diagonal,Weight,BatteryCapacity,RefreshRate,Category
1609.99,Msi,4.0,8,16,1,512,4,17.3,2.1,4,144,1
835.99,Acer,4.0,6,8,1,512,4,15.6,2.2,4,144,2
549.99,Acer,4.2,4,8,1,512,4,15.6,1.9,5,60,3
485.99,Acer,3.7,4,8,1,256,4,15.6,1.9,4,60,3
1055.99,Toshiba,1.1,2,16,1,512,2,15.6,2.41,3,60,2
1865.99,Toshiba,4.1,4,8,1,512,4,15.6,1.7,8,60,3
1915.99,Toshiba,4.9,6,8,1,512,4,15.6,1.9,8,60,3
939.99,Hp,3.9,4,8,1,256,4,13.3,1.49,14,60,3
425.99,Hp,2.2,2,4,1,256,2,15.6,2.52,4,60,2
1549.99,Hp,4.2,8,16,1,512,6,15.6,2.36,8,144,1
2979.99,Apple,4.8,8,16,1,1024,4,16.0,1.4,10,60,3
2199.99,Apple,4.8,8,8,1,512,4,27.0,8.92,5,60,2
1409.99,Apple,3.5,4,8,1,512,4,13.0,1.29,12,60,3
2175.99,Fujitsu,4.1,6,16,1,512,4,15.6,2.7,4,120,1
