Price,Manufacturor,CPU,Cores,RAM,SSDorHDD,StorageCapacity,VRAM,Diagonal,Weight,BatteryCapacity,RefreshRate,Category
929.0,Lenovo,4.5,4,8,1,512,4,15.6,3.32,10,120,1
350.0,Lenovo,3.2,4,8,0,512,4,15.6,2.1,4,60,2
1219.0,Lenovo,5.0,6,16,1,512,4,17.3,2.2,4,120,1
739.99,Asus,4.0,4,8,1,256,4,15.6,2.6,4,60,2
1489.0,Asus,5.0,8,16,1,512,6,17.3,2.39,3,144,1
379.99,Asus,2.6,2,4,1,256,2,15.6,1.9,4,60,3
819.99,Dell,4.1,4,8,1,256,4,15.6,1.8,8,60,3
549.99,Dell,4.1,4,4,0,1024,4,15.6,1.68,3,60,2
749.99,Dell,3.9,4,8,1,512,2,15.6,1.75,4,60,3
1699.99,Msi,5.0,8,16,1,512,6,17.3,2.3,4,144,1
939.99,Msi,4.1,4,8,1,512,4,15.6,2.3,3,60,2
1609.99,Msi,4.0,8,16,1,512,4,17.3,2.1,4,144,1
835.99,Acer,3.5,4,8,1,512,4,15.6,2.2,4,60,2
888.00,Dell,4.5,4,8,1,512,2,15.6,2.3,7,60,1
819.00,Lenovo,4.5,4,8,1,512,4,15.6,3,2,60,1
1099,Msi,4.6,6,8,1,521,6,15.6,3.5,2,120,1
789.00,Asus,4.2,6,8,1,512,4,15.6,2,7,60,2
739,Asus,4.1,4,8,1,512,4,15.6,2,7,60,2
729,Asus,3.8,6,8,1,512,4,15.6,1.9,8,60,2
869,Asus,4.1,4,8,1,512,4,15.6,1.8,6,60,2
1549,Lenovo,4.9,4,16,1,256,4,13.3,2.5,6,60,2
