Price,Manufacturor,CPU,Cores,RAM,SSDorHDD,StorageCapacity,VRAM,Diagonal,Weight,BatteryCapacity,RefreshRate,Category
0,Msi,0,0,16,1,512,4,17.3,2.1,4,144,1
0,Acer,0,0,8,1,512,4,15.6,2.2,4,144,2
0,Acer,0,0,8,1,512,4,15.6,1.9,5,60,3
0,Acer,0,0,8,1,256,4,15.6,1.9,4,60,3
0,Toshiba,0,0,16,1,512,2,15.6,2.41,3,60,2
0,Toshiba,0,0,8,1,512,4,15.6,1.7,8,60,3
0,Toshiba,0,0,8,1,512,4,15.6,1.9,8,60,3
0,Hp,0,0,8,1,256,4,13.3,1.49,14,60,3
0,Hp,0,0,4,1,256,2,15.6,2.52,4,60,2
0,Hp,0,0,16,1,512,6,15.6,2.36,8,144,1
0,Apple,0,0,16,1,1024,4,16.0,1.4,10,60,3
0,Apple,0,0,8,1,512,4,27.0,8.92,5,60,2
0,Apple,0,0,8,1,512,4,13.0,1.29,12,60,3
0,Fujitsu,0,0,16,1,512,4,15.6,2.7,4,120,1
